Job_title; Location; Salary; Company_name; Job_description 
Software Engineer - Engineering Drivers;Manchester, Greater Manchester;Competitive;ARM;Arm's Image Signal Processor (ISP) group provides image processing technology for a range of sectors and use cases, including surveillance cameras, drones and automobiles. The SoCs at the heart of these devices use our "intellectual property" in the form of software and hardware designs, which is the culmination of man-decades of research and experimentation in the field of imaging! You will work with multiple teams across ISP group, to define and implement control software and tools for various of our world leading ISPs. This position works within an outstanding team of software engineers to deliver drivers for many of our sophisticated ISP pipelines. The successful candidate will work on an exciting variety of cutting-edge projects for automotive applications and ISP solutions.
Software Engineer;M41, Manchester;From £45,000 to £90,000 per annum;Stealth It Recruitment Ltd;As the leading digital innovation, design and transformation brand, we enable CxOs to envision and shape the future of their businesses. We comprise a 10,000+ strong team of strategists, data scientists, product and experience designers, brand experts and technologists who develop new digital services, products, experiences and business models for sustainable growth. We are a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. Get The Future You Want Our software engineers are responsible for creating the visions of our clients and driving better business outcomes. They are tasked with building cutting-edge digital solutions for our clients, combining a clear understanding of business value and a consultative approach to make the difference.
Software Engineer;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction With 95% of the UK using the BBC every week, we're the highest reaching media provider in the UK, driven by the strength of our Broadcast portfolio across TV and Radio. Beyond the UK we're building one of the world's biggest global media brands, reaching 372 million people a week worldwide across TV, Radio and online. Team Rock Badger supports the enrichment of content metadata through the Content Enrichment Chassis, which provides an easy way for systems that process content (audio, video and text) to better understand and classify that content using machine learning based enrichment engines. We work with many different parts of the BBC to extract more value from the content we produce and provide a richer, more relevant experience for our audiences. Role Responsibility
Software Engineer;Greater Manchester, M3 2LF;£35000.00 to £75000.00 per year;Cinch;Manchester - Hybrid Hi! We're cinch, a fresh kind of service that makes life easier for motorists. We know what drivers want, so we’ve ripped up the rule book to make sure they get it, faff-free! Our mission – It’s simple, to take out all the irritations and hold-ups that make changing cars trickier than it needs to be. With backing of BCA, a large national automotive group, this is a very unique opportunity to join a scale-up in the early stages of our growth and to join a brand that you’ll be proud to have played a key part in building. Location – Our product and tech teams are based in the heart of Manchester whilst our marketing and operations departments are based in Surrey; we're a friendly bunch and always make sure we have time to meet up. You – So, do you have a faff-free filter? Do you want to work in an energetic team, with open-mindedness and passion?
Software Engineer;Salford, Greater Manchester;£550 - £650 per day;Anonymous;Reed Professional Services are looking for a Software Engineer to join a team who are transforming how our client engages with its audience. Our client's aim is to become more data driven in how it supports the delivery of its services. This role requires an experienced Software Engineer. Reed Professional Services are working with a key player in the broadcasting sector to support a formal testing process which new devices are required to pass to attain certification. These test packs are made up of a combination of automated tests which are surfaced through an online Automated Certification Tool (ACT) and manual tests available through run books currently presented in various html documents and a spreadsheet. Work will commence to consolidate the manual product tests into the ACT user interface.
Software Engineer;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction Do you want to be part of the team that enables the BBC's most popular digital products? Are you looking for an opportunity to use your skills to help build and scale our platform? If so, then we have the opportunity you're looking for! We build a platform for delivering the BBC's digital content called WebCore. WebCore is a Serverless React framework which serves more than two billion requests a month for sites such as BBC Home, News and Sport. Our challenge is to provide a robust and secure service that can operate at increasing scale. We also enable BBC's development teams to build innovative personalised experiences for BBC users. Learn more about the WebCore mission from our Head of Architecture, Matthew Clark . You can also read about how we are stretching AWS Lambda in a two-part blog series (also see part 2 ).
Software Engineer {C#, .NET};CW1, Crewe;£50000 - £70000 per annum + Company Benefits + Progression;Ernest Gordon Recruitment;Crewe £50,000 to £70,000 + Company Benefits + Progression + Training Are you Software Engineer looking to progress quickly and run projects while working with some of the most prestigious clients in the UK? Do you want to work with cutting edge technologies providing bespoke software solutions? Do you want the opportunity to work on a variety of bespoke .NET web and software projects for clients across a diverse range of sectors: sport, automotive, travel, environmental, transport, film, etc., and will work with the latest tech and approaches? On offer is a unique opportunity for a Software Engineer to take a lead role in a cutting-edge, leading digital agency based in the North of England.
Software Engineer;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction The BBC is one of the UK's most well-known and loved brands and is a unique and rewarding organisation to work for. The iPlayer and Sounds department builds some of our most used online products, with a mission to secure the Internet future of the organisation. iPlayer & Sounds are key destinations for our audiences discovering BBC content on TV devices. Enhancing our broadcast channels with Live Restart and Ultra High Definition content, and being able to promote personally relevant streamed content to people, is of strategic importance to us. Our products are underpinned by a technically diverse architecture, blending contemporary cloud services and well-established broadcast engineering. Combined they offer a unique opportunity to use and develop a broad range of technical skills.
JAVA SOFTWARE ENGINEER;Manchester, Greater Manchester;£45000 - £60000 per annum;Searchability (UK) Ltd;SOFTWARE ENGINEER - Java / Spring / SQL Server / Jenkins / TDD * Seeking a talented Java Software Engineer * Java, Spring, SQL Server, Jenkins, TDD * Salary up to £60,000 + benefits * Excellent progression opportunities Alternatively, you can email me at We are operating at the forefront of innovation, utilising cutting edge technology. We're proud to promote a dynamic working environment where employees are encouraged to grow and develop professionaly, whilst also having fun. We're operating globally and are well established in our field. As a Java Software Engineer within our team, you will become a critical part of creating innovative software, solving complex problems and working collaboratively with other members of the organisation. You'll get the opportunity to upskill, to contribute and to push your abilities to the next level.
JAVA SOFTWARE ENGINEER;Manchester, Greater Manchester;£40000 - £85000 per annum;Searchability (UK) Ltd;A great opportunity for a skilled and enthusiastic developer who has the passion for problem solving, if that sounds like you, there's a digital revolution underway in the UK that you do not want to miss out on! * £40,000 - £85,000 competitive annual salary * Flexible working - including an option for fully remote! * 3% + 3% matching share scheme * Dental insurance * Medical insurance and childcare vouchers * Cycle to work scheme What We Do Here - Starting with public service transformation and ranging to cutting-edge commercial projects, our work has a wide reach helping make the everyday easier for everyone as a team. When you begin your new chapter and progress onto your next challenge, not only will you be improving people's lives, but you can rest assured we'll do the same for you! What The Role Consists of - * Building, using and maintaining reliable code
REMOTE TECH LEAD / PRINCIPAL SOFTWARE ENGINEER;Manchester, Greater Manchester;£60000 - £85000 per annum;Searchability (UK) Ltd;C# / .Net Core / SQL / Message Queueing / Leadership * Remote Principal Software Engineer/ Tech Lead * Salary package up to £85,000 dependent on experience with a competitive benefits package. Join a solutions provider at the forefront of the eCommerce industry. We have a leading platform that integrates with large financial companies and we are making waves across Europe within our market! This role would require you to be 50/50 with hands on coding to hands-off duties We're a solutions provider with 10 years' experience under our belt. We have a market leading eCommerce platform which is primarily written in C# and .Net Core and are looking for an avid Senior Developer to play an integral part in continuing its success. We have a vast proportion of our UK market onboard with our product and are have launched in Europe, so it's an exciting time to join us!
